39,42,105,193,207,277,292,244,276,425,382,451,303,211,195,152,158,233,276,244,244,276,233,158,152,195,211,303,451,382,425,276,244,292,277,207,193,105,42,39
29,36,75,165,277,283,285,239,239,210,145,186,150,149,72,50,48,50,41,33,33,41,50,48,50,72,149,150,186,145,210,239,239,285,283,277,165,75,36,29
44,87,84,165,267,263,270,251,251,187,111,93,103,61,48,38,47,39,22,13,13,22,39,47,38,48,61,103,93,111,187,251,251,270,263,267,165,84,87,44
196,179,153,236,199,228,269,290,322,213,121,89,90,46,33,0,49,45,20,10,10,20,45,49,0,33,46,90,89,121,213,322,290,269,228,199,236,153,179,196
331,301,330,317,210,273,466,568,571,261,135,88,39,30,25,0,52,54,25,13,13,25,54,52,0,25,30,39,88,135,261,571,568,466,273,210,317,330,301,331
425,383,220,193,234,501,608,624,624,428,263,177,86,37,27,32,67,65,46,31,31,46,65,67,32,27,37,86,177,263,428,624,624,608,501,234,193,220,383,425
134,153,169,199,283,649,696,677,614,457,314,221,114,98,44,55,89,118,234,220,220,234,118,89,55,44,98,114,221,314,457,614,677,696,649,283,199,169,153,134
43,60,172,251,360,729,716,649,371,273,282,232,138,140,65,84,117,146,326,343,343,326,146,117,84,65,140,138,232,282,273,371,649,716,729,360,251,172,60,43
146,175,244,337,498,852,806,631,342,214,145,138,137,152,70,89,105,89,108,108,108,108,89,105,89,70,152,137,138,145,214,342,631,806,852,498,337,244,175,146
172,196,231,332,457,586,801,742,593,422,248,211,152,119,49,59,67,78,153,183,183,153,78,67,59,49,119,152,211,248,422,593,742,801,586,457,332,231,196,172
49,57,71,107,164,508,983,1251,1213,1219,719,477,355,128,46,53,66,120,131,133,133,131,120,66,53,46,128,355,477,719,1219,1213,1251,983,508,164,107,71,57,49
34,42,58,89,164,607,1271,1857,2547,2471,1547,938,660,290,156,158,152,135,169,180,180,169,135,152,158,156,290,660,938,1547,2471,2547,1857,1271,607,164,89,58,42,34
